FILE_NAME,AGENCY_NAME,GSTIN,AGENCY_CODE,Agency_code_subcode,CLIENT_CODE,CLIENT_NAME,CITY_NAME,RO_CLIENT_CODE,RO_CLIENT_NAME,RO_NUMBER,RO_DATE,KEY_NUMBER,CATEGORY,COLOUR,AD_CAT,AD_SUBCAT,PRODUCT,BRAND,PACKAGE_NAME,INSERT_DATE,RO_REMARKS,AD_HEIGHT,AD_WIDTH,AD_SIZE,Executive,PAGE_PREMIUM,POSITIONING,RO_RATE,RO_AMOUNT,EXTRACTED_TEXT
AMAR UJALA - JAMMU - HINDI.pdf,AKAR Advertising and Marketing Pvt. Ltd.,07AADCA3901E1Z9,NONE,SA329SAM81,NONE,NORTHERN RAILWAY,DELHI,NONE,NORTHERN RAILWAY,558581,02-04-2026,1111/2026,Tender,B,G02,GOVT.TENDER,TENDER,,AU-JMU,03-04-2026,PLEASE SEND THE BILL ALONG WITH 2 SET VTS WITH IN 15 DAYS AFTER PUBLISHING THE ADVT.,9.0,8.0,72,,YES,BEST-RHS PAGE REQUESTED,32.46,2337.12,"RELEASE ORDER (Fully Accredited With INS) The Advertisement Manager: 558581 02/04/2026 No. : Date : Client NORTHERN RAILWAY Release Date Caption Size (Width x Height) AMAR UJALA LIMITED Publication/Edition 03/04/2026 Position BEST-RHS PAGE REQUESTED Rate Material Send By Email (Available - akarad.com) 8.00cm(W) X9.00cm(H) Black&White Remarks PLEASE SEND THE BILL ALONG WITH 2 SET VTS WITH IN 15 DAYS AFTER PUBLISHING THE ADVT. AMAR UJALA - JAMMU - HINDI Rate 32.46 Per Sq. Cm +GST Extra 1111/2026 Category TENDER B&W Instructions: Please note that we will not accept Publication of our client's advertisements on a page or opposite page featuring advertisements of competitive products. Badly reproduced advertisement will not be accepted by us. Please call us in case you need fresh material. Checking copies must be send to us and our client. To facilitate prompt payment, your bill along with voucher copy should reach us before 10th of the following month. All disputes are subject to Delhi court’s jurisdiction only. For AKAR Advertising and Marketing Pvt. Ltd. Authorised Signatory"
AMAR_UJALA_LUCKNOW_HINDI_1120_26_.pdf,SPAN Media Communications Ltd.,07ABRCS7145K1ZM,NONE,SA1462SAM213,NONE,"Northern Railway State Entry Road , New Delhi 110001",DELHI,NONE,Northern Railway,NR/0191/2026-27,02-04-2026,1120/26,Auction,B,G02,GOVT.TENDER,TENDER,,AU-NWD,03-04-2026,SPECIAL INSTRUCTIONS 1. IF WE DO NOT RECIEVE YOUR BILL AND VOUCHER WITHIN 10 (TEN) DAYS FROM THE DATE OF PUBLISHING THIS ADVERTISMENT WE WILL NOT FOR PAYMENT AGAINST THIS R.O 2. KINDLY SEND YOUR BILLS IN TRIPLICATE. 3. PLEASE TRANSLATE TEXT IN TO ............................,7.0,8.0,56,,YES,Right Hand Page Requested,98.18,5497.88,"RELEASE ORDER
New GSTIN : 07ABRCS7145K1ZM
The Advertisement Manager: NR/0191/2026-27
02/04/2026
RO. No.:
Date :
Please insert advertisement of our Client:
 In your publication in accordance with the specifications and conditions given hereunder
:
Northern Railway
Date of
 Insertion
Advt. No. Headline Size 
Width x Height
Position Material
State Entry Road , New Delhi 110001
GSTIN: 
AMAR UJALA - LUCKNOW - HINDI
03/04/2026 Auction Notice Right Hand Page 
Requested
1120/26 8.00X7.00cm email
56 Sq.cm 
Black&White
SPECIAL INSTRUCTIONS
Rate 98.18 Per Sq. Cm +GST Extra
1. IF WE DO NOT RECIEVE YOUR BILL AND VOUCHER WITHIN 10 (TEN) DAYS FROM THE DATE OF PUBLISHING THIS ADVERTISMENT WE WILL NOT 
FOR PAYMENT AGAINST THIS R.O
2. KINDLY SEND YOUR BILLS IN TRIPLICATE. 
3. PLEASE TRANSLATE TEXT IN TO ............................
Remarks:
Important:
(1) Inform us immediately if material found unsuitable for good reproduction to enable 
timely replacement.(2) Incase unable to comply with above instructions or if release 
connot be made, notify immediately. (3)No two productes of the same client should appear 
togetther in the same issue unless specified.(4) Request Competitive ads be spaced apart.
Media Department Page 1 of 1
For SPAN Media Communications Ltd."
billingplusRO371161.pdf,AMAR UJALA,,NONE,SA329SAM81,NONE,Northern Railway,DELHI,NONE,Northern Railway,37116/NR/2025-26,30-03-2026,1076/2026,Tender,B,G02,GOVT.TENDER,TENDER,,AU-NWD,31-03-2026,For VERMMILLION COMMUNICATION PVT. LTD. Media Department Please note that we will not accept Publication of our client's advertisements on a page or opposite page featuring advertisements of competitive products. Badly reproduced advertisement will not be accepted by us. Please call us in case you need fresh material. Your bill along with voucher copy should reach us before 10th of the following month. All disputes are subject to Delhi court’s jurisdiction only.,6.0,8.0,48,,YES,BEST,81.39,3906.72,"RELEASE ORDER The Advertisement Manager: 37116/NR/2025-26 30/03/2026 RO. No.: Date : Please insert advertisement of our Client: In your publication in accordance with the specifications and conditions given hereunder : Northern Railway Date of Insertion Advt. No. Headline Size Width x Height Position Material State Entry Road , New Delhi 110001 GSTIN: AMAR UJALA Publication/Edition DELHI Language: HINDI 31/03/2026 1076/2026 TENDER B/W 8.00X6.00cm BEST email 48 Sq.cm Black&White Rate 81.39 Per Sq. Cm +GST Extra Remarks: For VERMMILLION COMMUNICATION PVT. LTD. Media Department Please note that we will not accept Publication of our client's advertisements on a page or opposite page featuring advertisements of competitive products. Badly reproduced advertisement will not be accepted by us. Please call us in case you need fresh material. Your bill along with voucher copy should reach us before 10th of the following month. All disputes are subject to Delhi court’s jurisdiction only. Instructions: Page 1 of 1"
dag_file_processing_diagram.png,,,NONE,SA1463SAM214,NONE,,CHANDIGARH,NONE,,,,,,,G02,,,,,,,,,,,NO,,,,DagFileProcessorManager Check for new files Exclude recently processed files Queue file paths Process files Collect results Log statistics DagFileProcessorProcess Process file Load modules from file Process modules Return DagBag
diagram_basic_airflow_architecture.png,,,NONE,SA1462SAM213,NONE,,,NONE,,,,,,,G02,,,,,,,,,,,NO,,,,"Parsing, Scheduling & Executing
Scheduler
UI
API Server
Metadata DB
Airflow User
DAG files
Plugin folder & installed packages
read
author
install
install
install
operate"
etl-architecture.png,,,NONE,SA1462SAM213,NONE,,,NONE,,,,,,,G02,,,,,,,,,,,NO,,,,REGIONAL OFFICE 1 ADVANCED ETL PROCESSOR FTP SERVER HEAD OFFICE QlikView SALES MANAGER REGIONAL OFFICE 2 ADVANCED ETL PROCESSOR HTTP SERVER ADVANCED ETL PROCESSOR QVD FILES FINANCE DEPARTMENT REGIONAL OFFICE 3 ADVANCED ETL PROCESSOR EMAIL SERVER REGIONAL OFFICE 4 ADVANCED ETL PROCESSOR FILE SERVER DATABASE SERVER SOLUTION PROVIDER SUPPORT TEAM
ETLStepLambda2.png,,,NONE,SA1462SAM213,NONE,,,NONE,,,,,,,G02,,,,,,,,,,,NO,,,,Amazon CloudWatch Event (time-based) Automation Script (or manual invocation) using AWS CLI or AWS SDKs AWS Step Functions ETL Flow State Machine (One per ETL flow) 1 Start State Machine Execution 2 Trigger based on a schedule Amazon CloudWatch Event (time-based) 3 Poll for ETL Job tasks 4 Step starts ETL Job task AWS Lambda AWS Glue Runner Function AWS DMS Task Runner Function Run ETL Job 5 Poll running jobs for status 6 Return ETL job completion status (SUCCESS/FAILURE) 7 Persist state for active ETL Jobs Write ETL Runner logs Amazon DynamoDB Amazon CloudWatch
MTI4NzUw _ Central Bureau of Communication _ CBC.pdf,Central Bureau of Communication,,NONE,SA1463SAM214,NONE,Inderpreet Singh Kohli Indian Institute of Science Education and Research (IISER) Tirupati,NEW DELHI,NONE,Inderpreet Singh Kohli Indian Institute of Science Education and Research (IISER),21377/12/0001/2627,02-04-2026,128750,Admission Notice,B,G02,GOVT. DISPLAY,ADMISSION NOTICE,,AU-NWD,04-04-2026,English and Hindi newspapers carry the advt as per creative and regional languages to translate the hindi text in your own languages.,10.0,8.0,80,"Asst. Media Executive for Principal Director General,CBC",YES,NA,32.46,2318,"Main Navigation Menu Dashboard A/C Change Request Release Order Bills for Correction Withheld Bills Bill Acknowledgement Rate Revision Logout Techinical Support: 9810205148, 9289772910, 9289772911 support.cbc@becil.com Group Code : V01000012 Last Login: 31-Mar-2026 : 01:47 PM AD Newspaper Data User Manuals Policies & Guidelines Other Documents GOVERNMENT OF INDIA भारत सरकार CENTRAL BUREAU OF COMMUNICATION Soochna Bhawan, Phase - V, CGO Complex Lodhi Road, New Delhi, 110003 सूचना भवन, फे ज -V, सीजीओ कॉ��े� लोधी रोड, नई �द�ी, 110003 Advt. No. (�व�ापन सं�ा) Space (Sq.cms) (�ान (वग�सेमी) ) Type of Advt. (�व�ापन का �कार) 21377/12/0001/2627 Height =10.00 Width =8.00 Size =80 Classified for PSU Date of Publication (�काशन क� �त�थ) Not Later Than (�काशन क� अं�तम �त�थ) RO Instructions(s) (आरओ �नद�श) 04-04-2026 04-04-2026 B2-Black & White Please ensure that folio of the page carrying this advt. also carries date, title and place of publication. Bills submitted after last date for submission of bills will not be entertained. (कृ पया सु�न��त कर��क इस �व�ापन वालेपृ� का फो�लयो �काशन क� �त�थ, शीष�क और �ान भी होता है | �बल जमा करनेक� अं�तम �त�थ के बाद जमा �कयेगए �बल� पर �वचार नह� �कया जाएगा) Note: In case the advt. is not published, RO may be returned immediately with reasons. All CBC advertisements should be published only in the main edition. No payment will be made for advertisements published in supplements. नोट: य�द �व�ापन �का�शत नह� �आ है, आरओ कारण स�हत त�ाल वापस �कया जा सकता है | सभी सीबीसी �व�ापन के वल मु�सं�रण म�ही �का�शत �कए जानेचा�हए| पूरक म��का�शत �व�ापन� के�लए कोई भुगतान �कया नह� जाएगा| Remarks: English and Hindi newspapers carry the advt as per creative and regional languages to translate the hindi text in your own languages. Release Order RO Code(आरओ कोड) :21377/12/0001/2627 RO Date(आरओ �त�थ) :02-04-2026 Subject(�वषय) :ADMISSIONS TO Ph.D & MS(R) PROGRAMS FOR AUGUST-2026 SESSION AT IISER TIRUPATI. Campaign Name(अ�भयान का नाम) : Newspaper Details(समाचार प� �ववरण) :128750 HINDI AMAR UJALA Client Detail (�वभाग �ववरण) : Inderpreet Singh Kohli Indian Institute of Science Education and Research (IISER) Tirupati Shri. Inderpreet Singh Kohli , IISER TIRUPATI,, SRINIVASAPURAM, JANGALAPALLI (Vil.) ,YERPEDU MANDAL, TIRUPATI, DIST. A.P-517619 The Advertisement Manager (�व�ापन �बंधक) :AMAR UJALA , JAMMU ,JAMMU AND KASHMIR Premium/(अ�धमू�) : No Positioning/(पो�जश�न�ग) : NA Display For PSU Type/(पीएसयू �कार के�लए �ड��े) : NA Asst. Media Executive for Principal Director General,CBC (�धान महा�नदेशक, सीबीसी के �लए सहायक मी�डया काय�कारी।) This is a computer generated print out and no signature is required यह एक कं �ूटर ज�नत ���ट आउट हैऔर �कसी ह�ा�र क� आव�कता नह� है। ------------------------------------------------------ (Cut Here) ----------------------------------------------------- Details of Advertisement (�व�ापन का �ववरण) RO Amount (आरओ रा�श ) : 2318 Rate per Sq. Cms.(दर ��त वग�स�टीमीटर) :32.46 (Rate at the Time of RO Upload) Bills to be submitted to CBC. on or before(�बल सीबीसी को या उससेपहले��ुत �कए जानेचा�हएֿ) : 04-05-2026 MTI4NzUw | Central Bureau of Communication | CBC https://cbcindia.gov.in/cbc/roDownloadPdf/MjEzNzctMTItMDAwMS0yNjI3/MTI4NzUw 1 of 1 03-04-2026, 15:26"
Release_Order.pdf,Degree 360 Solutions Pvt Ltd.,07AACCD3150H1Z0,NONE,SA1462SAM213,NONE,Northern Railway (NR),NEW DELHI,NONE,Northern Railway,116603,31-03-2026,NR1086/2026,Others,B,G02,GOVT. DISPLAY,OTHERS,,AU-NWD,01-04-2026,SPECIAL INSTRUCTIONS 1. IF WE DO NOT RECEIVE YOUR BILL AND VOUCHER WITHIN 10 (TEN) DAYS FROM THE DATE OF PUBLISHING THIS ADVERTISEMENT WE WILL NOT MAKE THE PAYMENT AGAINST THIS R.O 2. KINDLY SEND YOUR BILLS IN TRIPLICATE. 3. PLEASE TRANSLATE TEXT INTO ..............,6,8,48,,YES,GOOD,32.46,1558.08,"ISSUED FROM
NEW DELHI
Degree 360 Solutions Pvt Ltd.
Fully INS & ASIC Accredited Agency
GSTIN 07AACCD3150H1Z0
RELEASE ORDER
Regd. Off.: 114, Pratap Bhawan, 5-BSZ Marg, New Delhi-110002, Ph: 011-41508791-92, Fax: 011-41508793, H. O. Media
Contact: Ph.: 8800609339 Branch Off: SF 3 Ganpati Square, Elgin Road, Prayagraj - 211001 (Uttar Pradesh) Prayagraj Contact:
9335106593, 7784086193, 8765374859, Jaipur Contact : 9636294948, 9799720200 Email: 360solution@gmail.com, Website:
www.degree360solutions.com MSME REGISTRATION NO. UDYAM-DL-03-0005082
The Advertisement Manager
AMAR UJALA ( JAMMU )-HINDI
GSTIN: RO. No.: 116603
Date : 31-Mar-2026
Please insert advertisement of our client: Northern Railway (NR)
State Entry Road, New Delhi - , 110001
In your publication in accordance with the specifications and conditions given under here:
Date of Insertion Advt. No. Headline Size Position Material
01-Apr-2026 NR1086/2026
2nd Corrigendum
Width x Height
8 6
Total= 48 S q .cm
GOOD Mail
Black&White Rate: 32.46 Per Sq.cm + GST Extra
Remarks:
SPECIAL INSTRUCTIONS
1. IF WE DO NOT RECEIVE YOUR BILL AND VOUCHER WITHIN 10 (TEN) DAYS FROM THE DATE OF PUBLISHING THIS
ADVERTISEMENT WE WILL NOT MAKE THE PAYMENT AGAINST THIS R.O
2. KINDLY SEND YOUR BILLS IN TRIPLICATE.
3. PLEASE TRANSLATE TEXT INTO ..............
BILLS(S) PERTAINING TO THE ABOVE INSERTION(S) AND ALL
CORRESPONDENCE RELATING TO THIS ORDER SHOULD BE
SENT/ADDRESSED TO OUR DELHI OFFICE UNLESS IT IS
SPECIFIED IN OUR RO/MAIL.
For Degree 360 Solutions Pvt Ltd
Media Department"
Ro No 18647.pdf,AKAR Advertising & Marketing Pvt. Ltd.,27AADCA3901E1Z7,NONE,SA329SAM81,NONE,North Western Railway,Mumbai,NONE,North Western Railway,RO/18647/25-26,30-03-2026,Akar-NWR-464,Tender,B,G02,GOVT.TENDER,TENDER,,AU-NWD,31-03-2026,Tender Notice,9,4,36,,NO,,,,".
A-3, 1st Floor, Aidun Building, 
Dhobi Talao Road, Marine Lines
Mumbai - 400002
Ph : 022-35008013
Fax : 22018966
Nitesh : 8766865254
Vishal : 9890610621
RELEASE ORDER Period : March - 2026
The Advertisement Manager RO NO. : RO/18647/25-26
Amar Ujala Date : 30.03.2026
Mumbai 
Client Name : North Western Railway
Caption/Product : Tender Notice
PUBLICATION / EDITION Date of Rel. SIZE Sq.m Rate POSITION & 
PREMIUM MATERIAL 
Amar Ujala AS PER
Delhi DAVP
NOTE : - 1) Advt. Publish in given Size Only
 2) Bill and voucher copy received after 15 days of publishing date will not be accepted.
AS per GSTIN APPLICABLE
Authorised Signature
Important : Inform us immediately if material found unsuitable for good reproduction to enable timely replacement. 
 (1) Forward voucher copies immediately after the insertion to the client and to us. 
 (2) Check above rate and notify us immediately if incorrect.
 3) Ready Material 
GST. 27AADCA3901E1Z7
Key No - Akar-NWR-464
31.03.2026 4 W X 9 H 
BW GOOD Via email
1 of 1"
